seed,corruption,raw,cleaned,difference,pipeline_rows,naive_rows
11,0.0,0.9015313483977659,0.8954341475546598,-0.006097200843106165,39032,36204
11,0.1,0.8857351210617794,0.8874471779748833,0.0017120569131038321,39059,8261
11,0.2,0.8766329347674057,0.8794993339568631,0.0028663991894574137,39059,1592
11,0.4,0.8466861130598531,0.8544321795499021,0.007746066490049053,39022,29
22,0.0,0.904855358744643,0.8988314659675234,-0.006023892777119566,39032,36181
22,0.1,0.8905375320787429,0.893488923338207,0.0029513912594640868,39058,8364
22,0.2,0.8775757409200803,0.8785789155078911,0.0010031745878108511,39056,1570
22,0.4,0.850769839025263,0.8568059010602747,0.006036062035011613,39016,27
33,0.0,0.906579511393377,0.9002744986212777,-0.006305012772099272,39032,36202
33,0.1,0.8903054258839502,0.8922392667511404,0.001933840867190173,39058,8262
33,0.2,0.8763284847137729,0.8756397672187872,-0.0006887174949856689,39055,1543
33,0.4,0.8534998874504349,0.8558633417408821,0.0023634542904471534,39022,30
44,0.0,0.9035802540484971,0.8955071960720258,-0.008073057976471287,39032,36161
44,0.1,0.8912069632557562,0.8916390675257828,0.0004321042700266009,39063,8220
44,0.2,0.8795132701987838,0.8833059119604256,0.003792641761641846,39059,1549
44,0.4,0.8545385756419654,0.8599823383759386,0.005443762733973179,39019,34
55,0.0,0.9069487625644603,0.899828824800759,-0.007119937763701345,39032,36165
55,0.1,0.884004279796754,0.8860466665157181,0.002042386718964062,39055,8211
55,0.2,0.8757209418663356,0.878083805070684,0.002362863204348309,39061,1651
55,0.4,0.850812288843555,0.8582372071502419,0.007424918306686901,39024,31
66,0.0,0.9078343424583707,0.9010394749227584,-0.0067948675356123145,39032,36200
66,0.1,0.8916505311639291,0.8924986387649779,0.0008481076010488087,39059,8324
66,0.2,0.8796674001090832,0.8831961844403752,0.003528784331292001,39061,1578
66,0.4,0.8497666317431599,0.8529541132813943,0.003187481538234338,39023,33
77,0.0,0.906991962990443,0.8996038249853269,-0.007388138005116174,39032,36165
77,0.1,0.8834098154585417,0.8855498577231452,0.0021400422646035144,39061,8189
77,0.2,0.8773588084443731,0.8784897831550171,0.0011309747106440504,39061,1537
77,0.4,0.8518971505024749,0.8560059148297972,0.004108764327322212,39031,30
88,0.0,0.9040547666046519,0.8984783644883962,-0.005576402116255652,39032,36184
88,0.1,0.881700396869306,0.8837121756995006,0.002011778830194544,39056,8238
88,0.2,0.8760996227232231,0.8790823898534373,0.002982767130214281,39067,1477
88,0.4,0.8518393170620951,0.8560927961744993,0.004253479112404146,39028,26
99,0.0,0.9055433067832398,0.8982496733148028,-0.007293633468437033,39032,36200
99,0.1,0.8908469767554676,0.8924201840432441,0.0015732072877764347,39058,8319
99,0.2,0.8833656619450303,0.8863464094848413,0.002980747539811035,39062,1594
99,0.4,0.8498083667703218,0.8545575506325576,0.004749183862235773,39074,28
20260830,0.0,0.9140087734355101,0.9080752035784027,-0.005933569857107468,39032,36203
20260830,0.1,0.8933250979912944,0.8950301836750908,0.001705085683796348,39056,8293
20260830,0.2,0.8801963980442458,0.8821742212618113,0.0019778232175655663,39061,1599
20260830,0.4,0.8621822301864706,0.8608548811178998,-0.0013273490685707934,39020,36
